2019-02-08 12:36:38: -- 分析开始 On File Change, After Delay
2019-02-08 12:36:38: 左侧: State File has changed, so re-read it: /Users/caoqian/Documents/WebSite/Category/_gsdata_/_file_state_v4._gs
2019-02-08 12:36:39: 变更：83， 冲突：0， 复制时间：0， 复制状态：0， 错误： 0, All: 7100
2019-02-08 12:36:39: Left to Right: Copy File: 83 
2019-02-08 12:36:39: == 同步开始由 On File Change, After Delay
2019-02-08 12:36:39: 创建文件夹 'ftp://67.218.138.18/media/15496367642074'
2019-02-08 12:36:39: 创建文件夹 'ftp://67.218.138.18/media/15496492722522'
2019-02-08 12:36:40: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15488754532796.html' -> 'ftp://67.218.138.18/15488754532796.html' (7,104)
2019-02-08 12:36:41: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15488759245295.html' -> 'ftp://67.218.138.18/15488759245295.html' (10,377)
2019-02-08 12:36:42: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489006138752.html' -> 'ftp://67.218.138.18/15489006138752.html' (7,272)
2019-02-08 12:36:42: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489009430810.html' -> 'ftp://67.218.138.18/15489009430810.html' (7,678)
2019-02-08 12:36:43: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489020435104.html' -> 'ftp://67.218.138.18/15489020435104.html' (12,757)
2019-02-08 12:36:44: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489020627808.html' -> 'ftp://67.218.138.18/15489020627808.html' (31,018)
2019-02-08 12:36:45: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489020979498.html' -> 'ftp://67.218.138.18/15489020979498.html' (21,923)
2019-02-08 12:36:46: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489027394672.html' -> 'ftp://67.218.138.18/15489027394672.html' (10,997)
2019-02-08 12:36:47: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489085035149.html' -> 'ftp://67.218.138.18/15489085035149.html' (13,480)
2019-02-08 12:36:47: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489461191227.html' -> 'ftp://67.218.138.18/15489461191227.html' (7,613)
2019-02-08 12:36:48: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489464034509.html' -> 'ftp://67.218.138.18/15489464034509.html' (7,609)
2019-02-08 12:36:49: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15489651912346.html' -> 'ftp://67.218.138.18/15489651912346.html' (11,557)
2019-02-08 12:36:50: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15490386721045.html' -> 'ftp://67.218.138.18/15490386721045.html' (9,364)
2019-02-08 12:36:50: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15490730271859.html' -> 'ftp://67.218.138.18/15490730271859.html' (9,954)
2019-02-08 12:36:51: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491199202017.html' -> 'ftp://67.218.138.18/15491199202017.html' (8,262)
